NOMBRE_EMPRESA;year;month;SINI_PAG_VS_PRIM_PCT;RESERVAS_VS_PRIM_PCT;SINI_INC_VS_PRIM_DEV_PCT;COMISION_VS_PRIM_PCT;GAST_ADQ_VS_PRIM_PCT;GAST_ADM_VS_PRIM_PCT;COSTO_REAS_VS_PRIM_DEV_PCT;TASA_COMBINADA_PCT;INDICE_COB_RESERVAS;archivo_fuente;hoja
Caroní, S.A., Seguros;2026;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3_Indice_por_Empresa_Feb.xlsx;Enero
Catatumbo C.A., Seguros;2026;1;84392.18772;3.4347749599999786;2.0613503062295067;325.71587781561544;8.241951596527397;9.79382632835958;8.354289100066952;28.5577208875798;7.754652110126744;3_Indice_por_Empresa_Feb.xlsx;Enero
Constitución C.A., Seguros;2026;1;1627890.8769200002;209.5914838900001;7.250548366811717;72.84130957742772;13.234030752099066;2.6982266331699933;2.332285477994348;5.117580980466055;7.068292040869278;3_Indice_por_Empresa_Feb.xlsx;Enero
Corporativos C.A., Seguros;2026;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3_Indice_por_Empresa_Feb.xlsx;Enero
Estar Seguros, S.A.;2026;1;797794.96926;514.30429708;21.18899749728913;200.79963208666473;62.88322349329526;12.465624807366938;8.308709176429685;7.410388781322709;-18.171611102345096;3_Indice_por_Empresa_Feb.xlsx;Enero
Fe C.A., Seguros;2026;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3_Indice_por_Empresa_Feb.xlsx;Enero
Guayana C.A., Seguros;2026;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3_Indice_por_Empresa_Feb.xlsx;Enero
Hispana de Seguros, S.A.;2026;1;1029546.17562;562.1965113000001;50.9069908801688;65.79893432094453;64.74954128237688;9.35266871949803;5.011692549771019;17.620089061158957;3.6578862034638684;3_Indice_por_Empresa_Feb.xlsx;Enero
Horizonte, S.A. Seguros;2026;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3_Indice_por_Empresa_Feb.xlsx;Enero
Iberoamericana de Seguros C.A.;2026;1;45797.71498999999;1.9227953099999995;16.551622742870826;3.182767612572542;0.0;0.0;0.0;46.50215095807775;4.119558505878613;3_Indice_por_Empresa_Feb.xlsx;Enero
Interbank Seguros S.A.;2026;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3_Indice_por_Empresa_Feb.xlsx;Enero
Internacional, S.A. de Seguros;2026;1;1981788.3997199999;1142.0358096000004;74.40395604840211;54.57883869149809;96.82624159630481;10.001822182832694;6.085456637905404;15.653091241922128;-47.03439091281556;3_Indice_por_Empresa_Feb.xlsx;Enero
Latitud Seguros, C.A.;2026;1;229843.64745;82.12789257000001;2.256965692788391;11.791824403541941;38.05928036022852;0.8118547850690229;0.3443856198689123;1.217141087446661;85.3880674246135;3_Indice_por_Empresa_Feb.xlsx;Enero
Mapfre La Seguridad, C.A. de Seguros;2026;1;1243048.23866;536.06529356;53.65876301059944;63.91664067087879;72.95464191626061;10.65405371337514;7.702029820114397;26.506180665617833;-24.57676210827562;3_Indice_por_Empresa_Feb.xlsx;Enero
Mercantil C.A., Seguros;2026;1;9603026.512370002;6444.90755489;44.71506888373937;67.91214234136777;82.51021281881856;8.65760337034428;4.997859616983924;3.0722286961299683;-31.67452880612175;3_Indice_por_Empresa_Feb.xlsx;Enero
Miranda, C.A Seguros;2026;1;1433093.92481;152.7373799000001;9.94801841748797;27.685585532895384;20.06507704807;0.3053930369972259;0.0;37.73710716774551;37.310157769249734;3_Indice_por_Empresa_Feb.xlsx;Enero
Multinacional de Seguros C.A.;2026;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3_Indice_por_Empresa_Feb.xlsx;Enero
Mundial de Seguros,C.A.;2026;1;615954.56431;4.666099989999995;3.2314342637101636;6.150259987510084;0.0;4.573888498019302;0.9693327504908412;8.167110731024952;151.89529225604633;3_Indice_por_Empresa_Feb.xlsx;Enero
Nuevo Mundo S.A., Seguros;2026;1;33314.0333;12.13864868;31.86899032726848;15.372803868812845;103.87696385462503;10.064990959830734;7.266566669368131;0.0;3.045059352957894;3_Indice_por_Empresa_Feb.xlsx;Enero
Occidental C.A., Seguros;2026;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3_Indice_por_Empresa_Feb.xlsx;Enero
Oceánica de Seguros, C.A.;2026;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3_Indice_por_Empresa_Feb.xlsx;Enero
